name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
caddy,2015-01-13T19:45:03Z,1939,119,2024-08-25T19:26:06Z,Go,0.97
SecLists,2012-02-19T01:30:18Z,605,25,2024-08-25T20:46:20Z,PHP,0.92
html5-boilerplate,2010-01-24T18:03:24Z,764,34,2024-08-25T19:37:34Z,JavaScript,1.0
awesome-courses,2014-11-15T18:36:49Z,194,0,2024-08-25T19:33:44Z,,0.51
spring-framework,2010-12-08T04:04:45Z,839,310,2024-08-25T19:58:17Z,Java,0.99
screenshot-to-code,2023-11-14T17:53:32Z,42,0,2024-08-25T20:41:08Z,Python,0.83
rails,2008-04-11T02:19:47Z,23727,126,2024-08-25T20:27:15Z,Ruby,0.97
alacritty,2016-02-18T05:02:30Z,1789,93,2024-08-25T20:19:25Z,Rust,0.94
llama,2023-02-14T09:29:12Z,54,0,2024-08-25T19:26:03Z,Python,0.65
gatsby,2015-05-21T22:43:05Z,18095,134,2024-08-25T20:49:06Z,JavaScript,0.99
docusaurus,2017-06-20T16:13:53Z,5161,144,2024-08-25T19:38:55Z,TypeScript,0.91
cs-self-learning,2021-10-20T13:43:42Z,245,4,2024-08-25T16:59:12Z,HTML,0.49
uptime-kuma,2021-07-03T01:02:42Z,1123,104,2024-08-25T20:59:47Z,JavaScript,0.83
prometheus,2012-11-24T11:14:12Z,6360,309,2024-08-25T19:56:20Z,Go,0.88
leetcode,2018-03-30T09:13:51Z,257,40,2024-08-25T16:59:41Z,JavaScript,0.97
DeepLearning-500-questions,2018-06-27T06:36:45Z,302,0,2024-08-25T15:17:11Z,JavaScript,0.43
element,2016-09-03T06:19:26Z,3231,145,2024-08-24T13:47:47Z,Vue,0.86
new-pac,2016-03-23T08:43:36Z,0,0,2024-08-25T19:40:34Z,,0.76
nuxt,2016-10-26T11:18:47Z,5248,224,2024-08-25T19:51:19Z,TypeScript,0.95
sherlock,2018-12-24T14:30:48Z,609,1,2024-08-25T20:58:31Z,Python,0.91
localstack,2016-10-25T23:48:03Z,5192,77,2024-08-25T20:38:48Z,Python,0.95
act,2019-01-02T19:53:43Z,938,73,2024-08-25T20:45:24Z,Go,0.84
nerd-fonts,2014-12-05T04:31:17Z,485,36,2024-08-25T19:44:48Z,CSS,0.98
private-gpt,2023-05-02T09:15:31Z,218,10,2024-08-25T19:50:42Z,Python,0.82
annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,102,0,2024-08-25T17:17:48Z,Python,0.79
awesome-flutter,2017-05-07T11:45:27Z,441,0,2024-08-25T20:08:30Z,Dart,0
react-router,2014-05-16T22:22:51Z,2314,277,2024-08-25T19:08:01Z,TypeScript,0.99
face_recognition,2017-03-03T21:52:39Z,94,2,2024-08-25T20:16:19Z,Python,0.44
normalize.css,2011-05-04T10:20:25Z,56,0,2024-08-25T20:04:08Z,CSS,0.91
